Código sem erro lexico

TABELA DE SÍMBOLOS:
                          TOKEN  LINHA  POSIÇÃO
0    initialize_airplane_system      1        4
1                       n_seats      1       35
2                          name      1       51
3                 airplane_name      3       70
4                     max_seats      4       93
5            free_seats_counter      6      113
6             max_seats_counter      7      141
7                reserved_seats      8      171
8               suggestion_list      9      198
9                 airplane_name     10      219
10                         name     10      235
11                    max_seats     11      245
12                      n_seats     11      257
13               reserved_seats     12      270
14                    max_seats     12      298
15                    max_seats     12      309
16            max_seats_counter     13      325
17                    max_seats     13      345
18                    max_seats     13      357
19           free_seats_counter     14      372
20                    max_seats     14      393
21                    max_seats     14      405
22              suggestion_list     15      420
23                            i     16      461
24                            j     17      472
25                            i     18      484
26                            i     18      491
27                    max_seats     18      493
28                            i     18      503
29                            i     18      507
30                            j     19      528
31                            j     19      535
32                    max_seats     19      537
33                            j     19      547
34                            j     19      551
35               reserved_seats     20      571
36                            i     20      586
37                            j     20      589
38                airplane_name     25      655
39              airplane_status     30      719
40                airplane_name     32      750
41                    max_seats     33      773
42           free_seats_counter     35      793
43            max_seats_counter     36      821
44               reserved_seats     37      851
45              suggestion_list     38      878
46                airplane_name     40      933
47           free_seats_counter     42      996
48               reserved_seats     44     1068
49         suggest_another_seat     48     1104
50                            i     48     1129
51                            j     48     1136
52                airplane_name     50     1152
53                    max_seats     51     1175
54           free_seats_counter     53     1195
55            max_seats_counter     54     1223
56               reserved_seats     55     1253
57              suggestion_list     56     1280
58                            k     58     1306
59                            k     59     1318
60                            k     59     1323
61                            k     59     1330
62                            k     59     1334
63              suggestion_list     60     1350
64                            k     60     1366
65                            i     63     1390
66                    max_seats     63     1396
67               reserved_seats     64     1420
68                            i     64     1435
69                            j     64     1440
70              suggestion_list     65     1463
71                            i     65     1484
72                            j     65     1488
73                            j     68     1515
74                    max_seats     68     1521
75               reserved_seats     69     1545
76                            i     69     1560
77                            j     69     1563
78              suggestion_list     70     1588
79                            i     70     1609
80                            j     70     1613
81                            i     73     1640
82               reserved_seats     74     1663
83                            i     74     1678
84                            j     74     1683
85              suggestion_list     75     1706
86                            i     75     1727
87                            j     75     1731
88                            j     78     1758
89               reserved_seats     79     1781
90                            i     79     1796
91                            j     79     1799
92              suggestion_list     80     1824
93                            i     80     1845
94                            j     80     1849
95                            k     85     1949
96                            k     85     1956
97                            k     85     1963
98                            k     85     1967
99              suggestion_list     86     1989
100                reserve_seat     91     2031
101                           i     91     2048
102                           j     91     2055
103                   person_id     91     2065
104               airplane_name     93     2089
105                   max_seats     94     2112
106          free_seats_counter     96     2132
107           max_seats_counter     97     2160
108              reserved_seats     98     2190
109             suggestion_list     99     2217
110              reserved_seats    100     2242
111                           i    100     2257
112                           j    100     2260
113              reserved_seats    101     2283
114                           i    101     2298
115                           j    101     2301
116                   person_id    101     2306
117          free_seats_counter    102     2325
118          free_seats_counter    102     2346
119                   free_seat    107     2394
120                           i    107     2408
121                           j    107     2415
122               airplane_name    109     2431
123                   max_seats    110     2454
124          free_seats_counter    112     2474
125           max_seats_counter    113     2502
126              reserved_seats    114     2532
127             suggestion_list    115     2559
128              reserved_seats    117     2581
129                           i    117     2596
130                           j    117     2599
131          free_seats_counter    118     2616
132          free_seats_counter    118     2637
133                           i    120     2690
134                           j    122     2720

Código sem erro sintático
